Maturity,Type,Year,Period
18Q1,Quarter,2018,Q1
18Q2,Quarter,2018,Q2
18Q3,Quarter,2018,Q3
18Q4,Quarter,2018,Q4
apr.18,Monthly,2018,Apr
aug.18,Monthly,2018,Aug
Cal18,Cal,2018,Cal
dec.18,Monthly,2018,Dec
feb.18,Monthly,2018,Feb
Jan18,Monthly,2018,Jan
Jul18,Monthly,2018,Jul
Jun18,Monthly,2018,Jun
mar.18,Monthly,2018,Mar
May18,Monthly,2018,May
Nov18,Monthly,2018,Nov
oct.18,Monthly,2018,Oct
S18,Season,2018,S
sept.18,Monthly,2018,Sep
W18,Season,2018,W
19Q1,Quarter,2019,Q1
19Q2,Quarter,2019,Q2
19Q3,Quarter,2019,Q3
19Q4,Quarter,2019,Q4
apr.19,Monthly,2019,Apr
aug.19,Monthly,2019,Aug
Cal19,Cal,2019,Cal
dec.19,Monthly,2019,Dec
feb.19,Monthly,2019,Feb
Jan19,Monthly,2019,Jan
Jul19,Monthly,2019,Jul
Jun19,Monthly,2019,Jun
mar.19,Monthly,2019,Mar
May19,Monthly,2019,May
Nov19,Monthly,2019,Nov
oct.19,Monthly,2019,Oct
S19,Season,2019,S
sept.19,Monthly,2019,Sep
W19,Season,2019,W
20Q1,Quarter,2020,Q1
20Q2,Quarter,2020,Q2
20Q3,Quarter,2020,Q3
20Q4,Quarter,2020,Q4
apr.20,Monthly,2020,Apr
aug.20,Monthly,2020,Aug
Cal20,Cal,2020,Cal
dec.20,Monthly,2020,Dec
feb.20,Monthly,2020,Feb
Jan20,Monthly,2020,Jan
Jul20,Monthly,2020,Jul
Jun20,Monthly,2020,Jun
mar.20,Monthly,2020,Mar
May20,Monthly,2020,May
Nov20,Monthly,2020,Nov
oct.20,Monthly,2020,Oct
S20,Season,2020,S
sept.20,Monthly,2020,Sep
W20,Season,2020,W
21Q1,Quarter,2021,Q1
21Q2,Quarter,2021,Q2
21Q3,Quarter,2021,Q3
21Q4,Quarter,2021,Q4
apr.21,Monthly,2021,Apr
aug.21,Monthly,2021,Aug
Cal21,Cal,2021,Cal
dec.21,Monthly,2021,Dec
feb.21,Monthly,2021,Feb
Jan21,Monthly,2021,Jan
Jul21,Monthly,2021,Jul
Jun21,Monthly,2021,Jun
mar.21,Monthly,2021,Mar
